"region","duration","start_year","end_year","sstar_slope","asar_slope","estar_slope","sar_ave_slope","mp_dist","mnn_dist","N","MAT_C","MAP_mm","MAT_sd","MAP_sd"
"BART",8,2015,2022,0.251864005149632,0.0778537635182053,0.329717768667837,0.553169428375481,2.26342705721715,0.686074824792396,14,6.64613708537895,1227.40725467802,0.483632709685581,156.997333729128
"BLAN",7,2016,2022,0.14985646142436,0.138035624414412,0.287892085838773,0.580273807187578,4.13104154010007,0.292430153791612,14,13.4671285456222,1179.37434781326,0.278291207499853,208.945426703588
"CPER",10,2013,2022,0.0890733827116592,-0.0540979005676561,0.0349754821440032,0.482596468580178,4.92814368720488,1.22008626023525,14,9.27513692535431,402.144354340355,0.606067512060806,82.6408746935192
"DCFS",6,2017,2022,0.112389799456423,0.0232158714045961,0.135605670861019,0.49558038542655,5.64727131833022,0.747080944182346,14,4.96601584051413,497.271613806083,1.15664587116638,127.694605583078
"DEJU",7,2016,2022,0.122763551426585,-0.0443668433554485,0.0783967080711367,0.551974225568435,3.96556727893831,0.774489820868331,14,-2.35504895372408,277.139267435506,1.19573538871305,23.7900922537098
"DELA",8,2015,2022,0.108079328122854,-0.021480328201079,0.0865989999217753,0.552123393543602,1.01324914275782,0.373120064393087,14,19.1555377642362,1559.97607417804,0.342705477631978,153.278037332862
"DSNY",6,2014,2019,0.120277647733154,0.169489775631386,0.28976742336454,0.645608909131801,3.81703937074194,0.886101902368015,14,23.7294369069954,1491.18321692004,0.445733902208811,84.313856180807
"GRSM",8,2015,2022,0.110953792015939,0.084082882118514,0.195036674134453,0.641007593786477,8.51897194299508,1.23970974266781,14,14.0534284800232,1673.6082055372,0.320525057048678,253.75321907148
"GUAN",5,2016,2020,0.105137498053675,-0.0162303487234486,0.0889071493302257,0.619899227202141,2.3683852280379,0.60600517332035,14,25.8031307851508,1546.95699519485,0.195825411118604,272.490399847565
"HARV",9,2014,2022,0.132289742852641,0.0247314082918782,0.157021151144519,0.606557613424785,5.66985550019496,1.60668897036548,14,9.46969917540668,1253.94424218962,0.541850293021591,162.363430184647
"JERC",5,2015,2019,0.146631268571685,0.0184020231972673,0.165033291768953,0.603553596394451,1.72047466303836,0.417814341307407,14,20.3907571299788,1423.33864495777,0.254565655483675,177.504501577625
"KONZ",7,2016,2022,0.152014025374626,-0.0639443783669283,0.0880696470076982,0.515977690412535,2.69604959809441,0.922502271311932,14,13.4423747896846,922.411499673086,0.620394958579144,140.710800570464
"LAJA",7,2016,2022,0.160908223974967,0.121088544175713,0.28199676815068,0.691921132278826,1.18093853248714,0.264901714375041,14,25.8072021676153,1642.61267478975,0.186881661264325,266.117950019825
"MLBS",5,2018,2022,0.135715986227333,0.013282791228813,0.148998777456146,0.533690265422648,4.44861020069203,0.566151496145084,14,12.3189342870646,1277.59682067865,0.284033449673497,222.868975851231
"NIWO",8,2015,2022,0.0578828969611096,0.257927089422795,0.315809986383904,0.555323739147305,1.57969296896235,0.476409408452253,14,3.64079113107884,479.564986347847,0.480452099211647,94.5961699513116
"NOGP",7,2016,2022,0.12046117532974,-0.0471797190972202,0.0732814562325199,0.540111057650101,1.86645510160154,0.35348238439686,14,6.1302127108989,443.63179239754,1.20158249164038,114.73769841283
"OAES",5,2015,2019,0.121093294261506,-0.0961371501912199,0.0249561440702865,0.422130081250715,1.35914310897964,0.377378820802356,14,16.1436495505534,778.280647395186,0.537496801994856,109.309350535784
"ONAQ",5,2015,2019,0.0743033596967065,0.0119731146227101,0.0862764743194167,0.520172700368835,3.59920723525171,1.25069722930184,14,10.2171118533951,426.86155114061,0.5725344123024,70.1394242242694
"ORNL",9,2014,2022,0.157156040461172,-0.0501168960395429,0.107039144421629,0.519389024107128,5.45579868994717,1.293634352664,14,15.0986481369954,1558.0586552032,0.6050944006733,207.845268924614
"OSBS",5,2015,2019,0.156902624753258,0.0469255333146058,0.203828158067864,0.647707639452165,2.98162834074418,0.95447428952997,14,22.1817255603486,1506.04744012453,0.224655257747703,83.8413419351164
"PUUM",5,2018,2022,0.145259557540388,0.126379350732372,0.27163890827276,0.552360538642106,5.73991992793085,0.598071011276299,14,20.6480642977996,1842.57858330923,0.331214140262455,358.088456555455
"RMNP",6,2017,2022,0.0978181588355924,0.161407371508725,0.259225530344318,0.696649459474788,6.83985449613617,0.923302347311134,14,4.37057512005011,443.870964785805,0.520937159552385,87.1417896852162
"SCBI",8,2014,2021,0.10793759635173,0.0691195203391204,0.17705711669085,0.535809097070108,2.18460370104464,0.562581561837268,14,13.156861109497,1168.78018294254,0.625550371913022,199.18990991632
"SERC",5,2015,2019,0.0822603147241763,0.149040525498197,0.231300840222374,0.588924858355188,2.22670703737568,0.602025853763587,14,14.2638548661298,1240.41529029597,0.274969197697276,233.866769317228
"SRER",7,2016,2022,0.0949466615225101,0.0128323925319462,0.107779054054456,0.59481799013186,7.67417155585236,2.78007219732477,14,18.374232160614,376.13031467738,0.377708397607385,109.306474164698
"STEI",7,2015,2021,0.100170871489004,0.17171423272282,0.271885104211824,0.634419892830454,15.2608847652174,0.763939734299879,14,5.31721579727639,962.333676665533,0.801993526544266,123.323014538487
