"region","area","spe_sta","spe_asyn","com_sta","sr"
"2060019830",1,0.78161474194055,1.27144096120419,0.993776998784254,4.7436974789916
"2060019830",2,0.845616798208492,1.30939654755123,1.10724771612553,6.47899159663866
"2060019830",4,1.10318186392497,1.36883969520733,1.51007912637331,8.00840336134454
"2060019830",8,1.44309260072532,1.48305062658114,2.14017938572029,9.95378151260504
"2060019830",16,1.37745476928143,1.33136548095702,1.83389573140091,11.172268907563
"2060019830",17,1.39460232725369,1.33206198623487,1.85769674604932,11.4033613445378
"2060020330",1,1.29084841258139,1.56747830943701,2.02337688749252,8.69047619047619
"2060020330",2,1.37536637608399,1.96340078684046,2.70039542499722,13.7619047619048
"2060020330",4,1.45700766787077,2.10773598130933,3.07098748661481,19.5
"2060020330",8,1.77726729351448,1.92466215791239,3.4206391043227,23.4404761904762
"2060020330",14,2.19347512634057,2.37333221348345,5.20584517681877,26.9642857142857
"2060020620",1,2.02073538571913,1.54529644002451,3.12263519778333,4.94047619047619
"2060020620",2,2.10655450510008,1.79497473116108,3.78121210646818,7.20238095238095
"2060020620",4,2.43708673249189,1.69556147964943,4.13223038617793,9.64285714285714
"2060020620",8,2.54459851216746,1.85031484771447,4.70830840853559,12.7738095238095
"2060020620",14,3.27619411933158,2.222817417129,7.28238135034582,18.1071428571429
"2060021230",1,1.5745619607018,1.57517213594566,2.48020612681745,6.07619047619048
"2060021230",2,2.09431559026638,1.76184527259948,3.68986002204221,7.74761904761905
"2060021230",4,2.85369396434992,1.745753950771,4.98184751255522,8.37142857142857
"2060021230",8,3.28894217762769,2.03902174163978,6.70622460717892,8.80952380952381
"2060021230",15,3.56391881376212,1.69489515548489,6.0404687319869,12.9571428571429
"2060022970",1,1.05307977578852,1.37476632425628,1.44773861250941,13.6388888888889
"2060022970",2,1.16939258282976,1.38960329878147,1.62499179067081,19.7277777777778
"2060022970",4,1.29467925799908,1.35008246002261,1.74792375757964,24.3
"2060022970",8,1.41896181698769,1.34884339245222,1.91395727098584,27.8166666666667
"2060022970",15,1.84459156324578,1.20346153004463,2.21989498501119,29.8722222222222
"2060028670",1,0.968533276522976,1.47684040960117,1.43036908081255,3.27380952380952
"2060028670",2,1.04369516267847,1.53218420978667,1.59913324808668,5.20238095238095
"2060028670",4,1.1517651983247,1.59227157365308,1.83392298481532,6.94047619047619
"2060028670",8,1.30255158544673,1.63317068855984,2.12728906968875,10.0119047619048
"2060028670",14,1.40839982946583,1.66201519199226,2.34078191297152,12.2857142857143
"2060030160",1,1.33784858400852,1.41052454323785,1.88706826288001,3.76630434782609
"2060030160",2,1.53793846705539,1.44896951623749,2.22842595661227,5.28532608695652
"2060030160",4,1.70322210789214,1.39876520298214,2.38240781746941,6.29891304347826
"2060030160",8,1.858077677845,1.37416036344941,2.55329669710473,7.22010869565217
"2060030160",16,2.04830824652153,1.33435811574891,2.73317673230142,8.40217391304348
"2060030160",23,2.06202128416252,1.36710737101193,2.81900449676208,9.19565217391304
"2060030170",1,1.45441797165553,1.57294240711286,2.28771570528405,3.82291666666667
"2060030170",2,1.60686386597606,1.76228775712233,2.83175651837187,5.01041666666667
"2060030170",4,1.7972213800946,1.69020687431838,3.03767593130787,5.9375
"2060030170",8,1.9301320051523,1.66566263581386,3.21494876317067,6.88541666666667
"2060030170",16,2.34183147241643,1.70472913909171,3.99218834987034,7.44791666666667
"2060030270",1,1.3952409520631,1.5698585039432,2.19033087364607,4.23809523809524
"2060030270",2,1.60354612862413,1.62109252374297,2.59949664058956,5.04365079365079
"2060030270",4,1.78866250543633,1.64813170326694,2.9479513816545,5.68253968253968
"2060030270",8,1.93281565585519,1.62309921789625,3.13715157935618,6.39285714285714
"2060030270",14,2.02425296950955,1.61791962807365,3.27507861155586,7.41269841269841
"2060030490",1,1.14960391810864,1.25575224650914,1.44361770276063,2.459375
"2060030490",2,1.44912878211446,1.35434181880673,1.96261571045408,3.3875
"2060030490",4,1.49019131100233,1.51587191397785,2.25893915480226,5.209375
"2060030490",8,1.74549357191055,1.46020411243471,2.54877689193213,6.453125
"2060030490",16,2.01336202104992,1.39070408566727,2.79999078860143,7.9625
"2060030650",1,1.53725462996308,1.18861409337323,1.82720251827737,2.16666666666667
"2060030650",2,1.72819848088245,1.24403078353377,2.14993211027406,2.94666666666667
"2060030650",4,2.00040241784331,1.44574624530318,2.89207428469237,5.23333333333333
"2060030650",8,2.31568820597391,1.70538280383425,3.94913484550969,6.48
"2060030650",15,2.845585605927,1.98207698225159,5.64016973053436,7.78666666666667
"2060030660",1,1.18979021214078,1.25040259056065,1.48771676348454,2.56944444444444
"2060030660",2,1.35236605825052,1.34046992290763,1.81280602584596,3.77777777777778
"2060030660",4,1.53085019654306,1.3901800025366,2.1281573301134,4.63888888888889
"2060030660",8,1.85285750887967,1.32678909950346,2.45835114571469,5.31666666666667
"2060030660",16,1.90229294286706,1.33590135969293,2.54127572891037,7.35833333333333
"2060030660",18,1.90053847961333,1.36292012194264,2.59028213639129,7.49166666666667
"2060031490",1,1.89182911428014,1.14859998561453,2.17295489344732,2.26315789473684
"2060031490",2,2.21188972286899,1.27845066525413,2.82779188767063,3.26315789473684
"2060031490",4,2.23742150705634,1.30356397119278,2.9166220649705,4.55263157894737
"2060031490",8,2.77532549524603,1.3843775665427,3.8420983554726,6.24561403508772
"2060031490",16,3.37922100652595,1.58859505906636,5.36821379446037,7.02631578947368
"2060031490",19,4.08447159401219,1.54093658675265,6.29391171676531,7.39473684210526
"2060031740",1,1.72126493499851,1.20153436363564,2.06815896832177,1.62222222222222
