"siteID","area","spe_sta_MAT","com_sta_MAT","spe_sta_MAP","com_sta_MAP"
"BART",1,0.808669592416508,1.58646643540295,262.519093206843,515.015939675107
"BART",2,0.858074625375445,2.09344212067536,278.557490809351,679.595884839018
"BART",4,1.01943804133997,2.77824944828314,330.941032904931,901.90546634286
"BART",8,1.27180075763648,3.44237946895216,412.865754772369,1117.50255622042
"BART",15,1.53083356395939,3.77496960051579,496.955793602084,1225.4715717076
"BLAN",1,0.342028600968237,1.77998635846055,203.707685674469,1060.13620085473
"BLAN",2,0.364217012050743,2.06278184167378,216.922808204034,1228.56542940895
"BLAN",4,0.378709523074898,2.98263377455523,225.554355016158,1776.41700638239
"BLAN",8,0.39534591137964,4.25516720247208,235.462766622518,2534.32099105066
"BLAN",16,0.427546050552935,6.46357648126405,254.640741244578,3849.62018512745
"BLAN",20,0.430664607283894,4.68740369557235,256.498112155987,2791.75529749242
"CPER",1,0.605448008679268,1.1233693545871,82.5486988921479,153.163735394498
"CPER",2,0.631481839411316,1.14187051757605,86.098233820501,155.686242547608
"CPER",4,0.688104740670356,1.19902274198952,93.8183794968054,163.478557819097
"CPER",8,0.695719865387686,1.17981856284635,94.8566497170482,160.860199217143
"CPER",16,0.72640003705272,1.18144855889006,99.0396814826675,161.082438039765
"CPER",18,0.743854983906057,1.20718161441719,101.419544214593,164.590964324158
"DCFS",1,1.74868647252897,6.66617951086327,193.023485857485,735.82613393108
"DCFS",2,1.85583660845434,7.58413945746406,204.850930668965,837.152375972733
"DCFS",4,1.92849931030513,9.28376428856578,212.871584012716,1024.76034040946
"DCFS",8,2.11207479475045,9.96366738147397,233.135010580182,1099.80939414213
"DCFS",15,2.41728242911662,9.24158554131036,266.824435426293,1020.10456651731
"DEJU",1,2.44700960481716,4.03897218371948,48.6867509241945,80.361120083627
"DEJU",2,2.64084629019623,4.3730699338257,52.5434086187309,87.0084719827507
"DEJU",4,2.85256730615853,4.6714009306475,56.7559006127474,92.9441932429518
"DEJU",8,3.08308169961406,4.77901357453397,61.3423136928258,95.0853004862093
"DEJU",16,3.41992504261977,4.95600303674706,68.0442930839601,98.6067586145356
"DEJU",24,3.53333375380326,4.87935606294336,70.3007213640758,97.0817576029629
"DELA",1,0.314599741147096,0.85067895743511,140.704329210708,380.465068544372
"DELA",2,0.34674795515889,0.962707907111077,155.082576539706,430.569872060301
"DELA",4,0.362726941644121,0.992358622718824,162.229157673796,443.831116443381
"DELA",8,0.391835410989183,1.07289529967688,175.247883113981,479.851041529538
"DELA",15,0.421148630002805,1.10005942113565,188.358182579834,492.000159880744
"DSNY",1,0.436323193045522,1.78023575635109,84.2400939196411,343.706751564941
"DSNY",2,0.465813610705351,1.96321753796983,89.933753099327,379.034698176153
"DSNY",4,0.516140293887673,2.45969199418611,99.6502306680554,474.888082747437
"DSNY",8,0.536297394825619,3.30062211391191,103.541924034865,637.244871005918
"DSNY",15,0.61945151315423,3.69744846113498,119.59633244005,713.859383579792
"GRSM",1,0.489400159875233,1.04750715508591,387.312701321499,829.000190750562
"GRSM",2,0.519818905571671,1.15810582529548,411.386184602548,916.528298081697
"GRSM",4,0.577523464310645,1.33267669647327,457.053739205421,1054.68419019492
"GRSM",8,0.60507263436959,1.7060747391187,478.856232031365,1350.19248059276
"GRSM",15,0.654588627141449,2.05764599681333,518.043331855717,1628.42699028197
"GUAN",1,0.220951757623987,0.465636496776528,249.217534051838,525.204147453157
"GUAN",2,0.230434565827574,0.565140130078059,259.913452933851,637.437018498278
"GUAN",4,0.257945749722857,0.625770189283912,290.944070128112,705.823321495758
"GUAN",8,0.260528424618671,0.722914673742013,293.857139821306,815.395243999246
"GUAN",14,0.310004313717163,0.748111814714577,349.662349106547,843.815788854224
"HARV",1,0.672774338944864,1.56767380575815,201.673879407159,469.932992016425
"HARV",2,0.712184184712024,1.92059434277106,213.487553060596,575.726048769269
"HARV",4,0.796151220668306,2.03942357552064,238.657891617477,611.346837150064
"HARV",8,0.865331263292699,2.30151752549869,259.395614158284,689.913305282777
"HARV",16,0.955088777449661,2.30872077382532,286.301732656155,692.072583587955
"HARV",20,0.990521119084405,2.31082057621484,296.923091677021,692.702029851538
"HEAL",1,2.2930180228896,4.36297207751096,33.8000147204636,64.3119761697322
"HEAL",2,2.3879041845818,4.89376270014226,35.1986751888725,72.1360450079761
"HEAL",4,2.643335704604,5.29811208272634,38.9638392872954,78.0963187376738
"HEAL",8,2.87515490781937,5.71210138056539,42.3809482689735,84.1986887240382
"HEAL",16,3.03741844413176,6.08880908762915,44.772778538603,89.7515129569772
"HEAL",30,3.4317602654838,6.37762430357912,50.5855367609727,94.0087662594616
"JERC",1,0.351385953012151,1.61566760899359,158.727631334988,729.827388949004
"JERC",2,0.402249484158075,2.57938520483726,181.703643184405,1165.15671828855
"JERC",4,0.454681358402802,3.03325386887622,205.388105053123,1370.17771404129
"JERC",8,0.490131667011167,3.0564578851808,221.40167493907,1380.65940380126
"JERC",14,0.53913863968744,3.65104658950697,243.539044475679,1649.24628340532
"JORN",1,0.469413139181437,0.817032650269306,57.4222031949982,99.9456788587636
"JORN",2,0.503108825080134,0.870919343738045,61.5441170507626,106.537511092655
"JORN",4,0.500553884059838,0.887859521436158,61.2315771361907,108.609763112777
"JORN",8,0.51929209321814,0.895885274500556,63.5237781079716,109.59153457333
"JORN",16,0.554232426005317,0.925763920088917,67.7979466847284,113.246518882371
"JORN",16,0.554232426005317,0.925763920088917,67.7979466847284,113.246518882371
"JORN",16,0.554232426005317,0.925763920088917,67.7979466847284,113.246518882371
"JORN",16,0.554232426005317,0.925763920088917,67.7979466847284,113.246518882371
"KONZ",1,0.766841659951735,2.13280856050232,173.926145579449,483.738940592206
"KONZ",2,0.842676068353846,2.60863967097498,191.12602796,591.661443128789
"KONZ",4,0.942384370170411,2.84689640708535,213.740710394336,645.700077092188
"KONZ",8,1.05848361487279,2.83870823386306,240.072996693232,643.842930457796
"KONZ",14,1.1359156426127,2.72295485319331,257.635232592168,617.589089033808
"LAJA",1,0.126271510587412,0.753623415553677,179.766811242029,1072.89821481645
"LAJA",2,0.13183091824397,0.884167290236916,187.681478471118,1258.7473898981
"LAJA",4,0.143493599666957,1.16600245231163,204.285089532623,1659.98285581089
"LAJA",8,0.169271145541577,1.29472824059561,240.983369310607,1843.2437067881
"LAJA",16,0.19335561589861,1.4366095793474,275.271297097293,2045.23349627828
"LAJA",18,0.194370609782843,1.56959052467748,276.716296156462,2234.55221422765
"LENO",1,0.359541000848442,1.03551926116661,192.726758868785,555.075138801671
"LENO",2,0.381381595167038,1.26054176764745,204.434093901112,675.695202283281
"LENO",4,0.419108098102615,1.48944573156461,224.656840728511,798.395864944475
"LENO",8,0.455086338547157,1.75899363544834,243.942456706426,942.883124402496
"LENO",16,0.508983194591321,2.00156860879227,272.833087688977,1072.91193414863
"LENO",19,0.538366584969375,1.98412060863737,288.583629570918,1063.55918575371
"NIWO",1,0.490425839289866,2.91654622612918,96.6120073457562,574.548408442419
"NIWO",2,0.503752013260808,4.22421213539357,99.2372124520689,832.153571772679
"NIWO",4,0.538977775246825,5.08623670713343,106.17655231369,1001.96910265446
"NIWO",8,0.567583375347804,6.07077989790848,111.811745702128,1195.92033107486
"NIWO",16,0.575321421769929,8.68430862561051,113.336111136989,1710.7754557655
"NIWO",17,0.573343776618229,8.52495035648904,112.94652263529,1679.38248860605
"NOGP",1,1.96990939748721,6.12635381785179,188.076782820927,584.912645197809
"NOGP",2,2.20166932802956,6.53056539928905,210.204024905668,623.504680909021
"NOGP",4,2.47641403861838,7.29115817484394,236.435231950279,696.122153796695
"NOGP",8,2.62649597130666,7.55912442762275,250.764280329643,721.706188672362
"NOGP",16,2.67847060094938,7.57877295045205,255.726549733495,723.582128228584
"NOGP",16,2.67847060094938,7.57877295045205,255.726549733495,723.582128228584
"NOGP",16,2.67847060094938,7.57877295045205,255.726549733495,723.582128228584
"NOGP",16,2.67847060094938,7.57877295045205,255.726549733495,723.582128228584
"OAES",1,0.529938395892256,1.5599005379926,159.500356508632,469.497386595127
"OAES",2,0.572289545780351,1.69406438402975,172.247165492587,509.877893913273
"OAES",4,0.621707015316667,1.91262656638749,187.120788671986,575.660532566335
"OAES",8,0.703480666479691,2.08140216995112,211.732944753929,626.458453885159
"OAES",16,0.759951046329094,2.21772941453788,228.729346199785,667.490098849887
"OAES",23,0.768626102495688,2.09781022669811,231.34035638895,631.396935265345
"ORNL",1,0.731205403233662,2.0631409301213,251.111666513584,708.526981507531
"ORNL",2,0.802633522362969,2.41539454286158,275.641619316407,829.498450453826
"ORNL",4,0.851728468275734,2.69650211983264,292.501879964138,926.036840091847
"ORNL",8,0.95972557985482,3.09759679974182,329.590411514023,1063.78138226332
"ORNL",16,1.11846752983904,3.14928005680051,384.105812289057,1081.5305246431
"ORNL",18,1.1571018904968,3.00370556605599,397.373682912761,1031.53711265372
"OSBS",1,0.30919392900609,0.859795204166615,91.2788841259104,253.824992830284
"OSBS",2,0.333048464046746,1.06006280603351,98.3211159926643,312.947121404233
"OSBS",4,0.359989472811671,1.31823893478646,106.274523180165,389.164752896125
"OSBS",8,0.409020110606443,1.44166563233239,120.749134374101,425.602244600942
"OSBS",15,0.465717295473206,1.61881818818674,137.487030180641,477.900450036014
"RMNP",1,0.742732425167133,2.10705609286444,124.091054519222,352.033657929857
"RMNP",2,0.810908930132182,2.55540790280819,135.481555469338,426.941453801301
"RMNP",4,0.832495726534816,3.07501887051168,139.088141419442,513.754780831652
"RMNP",8,0.919879168395879,4.22491685420555,153.687616385973,705.872491801372
"RMNP",16,0.964151506635828,3.61811489253478,161.084359751514,604.491842786198
"RMNP",16,0.964151506635828,3.61811489253478,161.084359751514,604.491842786198
"RMNP",16,0.964151506635828,3.61811489253478,161.084359751514,604.491842786198
"RMNP",16,0.964151506635828,3.61811489253478,161.084359751514,604.491842786198
"SCBI",1,0.839966617878066,2.15820069194685,253.813162013767,652.144656971177
"SCBI",2,0.889789125915635,2.47993354813614,268.868055905167,749.362846140903
"SCBI",4,0.94937210110177,2.67260214542488,286.872275373298,807.581619194227
"SCBI",8,1.01761748657851,2.88182314644349,307.494019990315,870.802040932377
"SCBI",14,1.14366115649723,3.07970992989536,345.580703119112,930.597596088529
"SERC",1,0.384775754107587,0.823350129280085,286.526777211778,613.115188628961
"SERC",2,0.404729114724627,0.941586999572138,301.385229313067,701.16135326052
"SERC",4,0.436069381821356,1.15707048698944,324.723045254742,861.62309892127
"SERC",8,0.454042806182091,1.30985823068402,338.107119751549,975.397886783883
"SERC",16,0.529794598782932,1.59100139403897,394.516383511617,1184.75370941894
"SERC",29,0.535000807957733,1.56623650739652,398.393234691614,1166.31231054719
"SRER",1,0.38070260548534,0.918934187401511,109.317110781553,263.867987551758
"SRER",2,0.407652019264486,1.05011992436653,117.055518686162,301.537405974786
"SRER",4,0.432015991846287,1.29073407603394,124.051528304767,370.628721596079
"SRER",8,0.449878612194559,1.36173635644483,129.180702676903,391.016720106163
"SRER",16,0.486952132971973,1.42319935284462,139.826204229802,408.665554365746
"SRER",24,0.501498318003053,1.43969619907075,144.003078507991,413.402552590775
"STEI",1,0.897192823922089,2.84481362528277,137.643635711096,436.439614611081
"STEI",2,0.924280546214403,3.69413892447575,141.799322738493,566.739611406962
"STEI",4,0.955464466503394,5.08661741996185,146.583431627748,780.367939295669
"STEI",8,1.05682628313069,5.27715728714633,162.133944952043,809.59978262733
"STEI",16,1.20815805951453,6.46006242075898,185.350644132752,991.076226654153
"STEI",16,1.20815805951453,6.46006242075898,185.350644132752,991.076226654153
"STEI",16,1.20815805951453,6.46006242075898,185.350644132752,991.076226654153
"STEI",16,1.20815805951453,6.46006242075898,185.350644132752,991.076226654153
"TALL",1,0.626378134166556,2.23326032803198,160.206564673149,571.193254775553
"TALL",2,0.668209063321132,2.47096716390912,170.905516458651,631.990708418905
"TALL",4,0.775165285719809,3.18187946665068,198.261338806614,813.818284436777
"TALL",8,0.848440649759193,3.48641886834398,217.002724732456,891.709271831824
"TALL",14,0.924258300057233,3.49494529951312,236.394342404425,893.890047583756
"TREE",1,1.04340189792762,2.98978934956675,181.411103551845,519.819818585455
"TREE",2,1.12298013699714,3.75514513151581,195.246976571616,652.888425503781
"TREE",4,1.2591152309047,4.4925881337527,218.916108923162,781.10397610618
"TREE",8,1.44268490639654,5.79104786278632,250.832456282479,1006.86071742462
"TREE",16,1.52257687410157,6.30480086429003,264.722875741256,1096.18439906731
"TREE",21,1.4832668834126,7.14127929130825,257.888242983099,1241.6187468906
"UKFS",1,0.81989674717759,2.27783247861382,134.567144955412,373.85367656225
"UKFS",2,0.855263329570837,2.62352185168098,140.371753933155,430.590615860044
"UKFS",4,0.937019879281219,2.77856278251508,153.790206334392,456.03700954973
"UKFS",8,1.00598151559689,2.77862522827783,165.108668741272,456.047258581743
"UKFS",14,1.12636703437753,2.95520719264602,184.867175665533,485.029116208869
"UNDE",1,1.38359779710428,3.57402484407327,149.730244811442,386.77397144261
"UNDE",2,1.46136747461632,4.46071721085913,158.146327055254,482.730083420488
"UNDE",4,1.54595473636372,4.72406591069091,167.300194917629,511.229164135356
"UNDE",8,1.69139069247651,5.44086333464954,183.038989355384,588.799578018754
"UNDE",16,1.81786088525155,5.71813680489428,196.725346015671,618.805570125964
"UNDE",24,1.99239623566665,5.63348737086884,215.613219934377,609.644974101378
"WOOD",1,1.65399833035281,3.54362334492675,148.155401904272,317.416850567796
"WOOD",2,1.74101288834388,3.9223332742077,155.949652100364,351.339449368599
"WOOD",4,1.93781371689582,4.60234239300465,173.577908014617,412.250650090574
"WOOD",8,2.03808864273087,4.85018688525773,182.559943646324,434.451095934846
