"Site","plot","Latitude","Longitude","time","start_year","end_year"
"DCFS","DCFS_062",47.162314,-99.110281,"2017,2018,2019,2020,2021,2022",2017,2022
"DCFS","DCFS_063",47.16475,-99.110683,"2017,2018,2019,2020,2021,2022",2017,2022
"DCFS","DCFS_065",47.160965,-99.11068,"2017,2018,2019,2020,2021,2022",2017,2022
"DEJU","DEJU_001",63.89244,-145.769965,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_003",63.930794,-145.751133,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_004",63.912331,-145.766038,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_005",63.896876,-145.75386,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_006",63.835171,-145.748058,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_007",63.866754,-145.726499,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_008",63.897474,-145.761176,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_009",63.853315,-145.760668,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_010",63.937523,-145.751463,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_011",63.880982,-145.723425,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_014",63.831139,-145.747612,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_015",63.87415,-145.741425,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_016",63.857875,-145.759874,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_017",63.883388,-145.780721,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_018",63.837932,-145.755235,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_020",63.845012,-145.733569,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_021",63.860681,-145.742041,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_022",63.874251,-145.721887,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_023",63.934644,-145.761389,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_024",63.887095,-145.77447,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_026",63.856988,-145.749533,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_028",63.869323,-145.742874,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_045",63.880889,-145.742977,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DEJU","DEJU_046",63.877756,-145.753497,"2016,2017,2018,2019,2020,2021,2022",2016,2022
"DELA","DELA_001",32.532072,-87.805439,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_002",32.532479,-87.818534,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_003",32.534942,-87.815024,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
"DELA","DELA_004",32.531982,-87.81434,"2015,2016,2017,2018,2019,2020,2021,2022",2015,2022
