"region","area","spe_sta","spe_asyn","com_sta","sr"
"HEAL",1,2.09149272555853,1.90272035978717,3.97952579126697,14.3833333333333
"HEAL",2,2.14060950500015,2.08189200189123,4.45651780763214,20.0222222222222
"HEAL",4,2.37724807993027,2.03162305175452,4.82967199892551,28.7777777777778
"HEAL",8,2.63520095623409,1.95451902298465,5.15055039834688,39.2166666666667
"HEAL",16,2.75977934082501,1.99110171775766,5.49500138614876,59.1444444444444
"HEAL",30,3.13015491351231,1.85841195485723,5.81711731182639,67.1666666666667
"JERC",1,0.983387585044925,4.59798576221889,4.52160211477938,50.5119047619048
"JERC",2,1.12573409785137,6.4124015229902,7.2186590435441,87.0357142857143
"JERC",4,1.27246977055231,6.67116391032918,8.48885441029343,132.202380952381
"JERC",8,1.37168088890419,6.235993490931,8.553793094841,194.27380952381
"JERC",14,1.50883164321684,6.77199948351619,10.2178071085773,255
"JORN",1,1.19953915483827,1.98273660803348,2.37837019506738,16.5625
"JORN",2,1.30272645287578,1.98335278330074,2.58376613619067,24.3958333333333
"JORN",4,1.30690972952578,2.02778800024841,2.65013586694027,37.1979166666667
"JORN",8,1.3511867228792,1.98066181706651,2.67624394973407,52.53125
"JORN",16,1.45363697619182,1.93868925141132,2.81815038119713,70.8333333333333
"KONZ",1,1.23605398359134,2.78128937418001,3.43782381047546,36.4183673469388
"KONZ",2,1.3582896777301,3.0956612735792,4.20480475365145,56.2244897959184
"KONZ",4,1.51900713753171,3.02095036505174,4.58884516664262,81.1938775510204
"KONZ",8,1.70341527524007,2.68588521730693,4.57517790670213,114.755102040816
"KONZ",14,1.83095563061026,2.39714530819409,4.38906669942892,141.571428571429
"LAJA",1,0.67565516473427,5.96827750018857,4.03249751756975,7.05555555555556
"LAJA",2,0.705402512164756,6.70682797339433,4.73101330108922,11.7301587301587
"LAJA",4,0.765993036006209,8.1481470383296,6.24142388771509,19
"LAJA",8,0.905644768528542,7.55671216169431,6.84369683651447,30.3809523809524
"LAJA",16,1.03460962733818,7.42988287498571,7.68702835245528,46.0238095238095
"LAJA",18,1.04004066920079,8.07524618269744,8.39858444381378,48.1428571428571
"LENO",1,1.00003806257159,2.88011453136917,2.8802241559347,23.359649122807
"LENO",2,1.06078614297476,3.30519821517699,3.50610846644467,35.8245614035088
"LENO",4,1.17080854669924,3.54061236794392,4.14537922093779,52.7280701754386
"LENO",8,1.26579071435398,3.86518663922948,4.89251735718176,72.8859649122807
"LENO",16,1.41570103715421,3.93248466759181,5.56722262250274,99.7982456140351
"LENO",19,1.49742887547059,3.68544531557478,5.51869223450951,109.5
"NIWO",1,1.02103628602471,5.94696688566069,6.07206898204694,23.6397058823529
"NIWO",2,1.04878055659152,8.38549926192863,8.79454858322325,35.5294117647059
"NIWO",4,1.12211841587453,9.4368208499955,10.5892304630887,51.125
"NIWO",8,1.1816735072802,10.6958381122217,12.6389885353703,80.3676470588235
"NIWO",16,1.19818504087091,15.1285596355348,18.1268138452213,108.705882352941
"NIWO",17,1.19366630669648,14.8688286228064,17.7484197470883,109.25
"NOGP",1,1.63938431804219,3.10996730391077,5.09843162765525,20.4196428571429
