"region","duration","start_year","end_year","sstar_slope","sstar_ave_slope","asar_slope","estar_slope","sar_ave_slope","mp_dist","mnn_dist","N","MAT_C","MAP_mm","MAT_sd","MAP_sd"
"HEAL",6,2016,2022,0.120175546909644,0.126404789352189,-0.0118325985930973,0.108342948316547,0.471204552120957,2.65917344089783,0.542505650709608,30,-2.58429288987118,393.358427242915,1.09635476847153,16.1607134977902
"JERC",6,2015,2022,0.158269447964084,0.269632759475582,0.113071626421435,0.271341074385518,0.607902236829648,1.46182303220352,0.533287327966384,14,20.2644017767297,1422.3055243211,0.357321933239678,161.409025036387
"JORN",6,2015,2022,0.0607066424674994,0.116305620606188,-0.006678167081873,0.0540284753856266,0.529955711116281,2.72966377488305,0.839554254970631,16,16.3072111447766,287.096403999866,0.380520497456518,46.548175798642
"KONZ",7,2016,2022,0.152014025374626,0.151060452422951,-0.0639443783669283,0.0880696470076982,0.515977690412535,2.69604959809441,0.922502271311932,14,13.4423747896846,922.411499673086,0.620394958579144,140.710800570464
"LAJA",7,2016,2022,0.161742737864114,0.235402718498117,0.0813142139712562,0.24305695183537,0.665873849675079,1.16348893548638,0.220667650125668,18,25.8078792516605,1642.19712183709,0.186887508862711,266.062957296759
"LENO",6,2016,2022,0.134863425309632,0.171558028298024,0.0898898326083537,0.224753257917986,0.515008858690939,2.60644845929178,0.426020055046895,19,19.5959350151651,1628.4533655475,0.359527316314228,192.719423471934
"NIWO",8,2015,2022,0.0595180711699136,0.11774500916257,0.306463072228122,0.365981143398035,0.546521040319622,1.65187747720633,0.502752073812071,17,3.66188988195632,479.453637604214,0.48032165555965,94.6215219460065
"NOGP",7,2016,2022,0.114110193501837,0.197360930259858,-0.0316219507470572,0.0824882427547802,0.553490909293814,2.01188233556469,0.329064029823887,16,6.12877586408673,443.653196789129,1.20161537219031,114.724034353052
"OAES",7,2015,2022,0.115651817474804,0.135055857891079,-0.0692809678595353,0.0463708496152688,0.424930696604511,1.51255315459354,0.329700562346779,23,16.1214719842128,724.385664909337,0.442651480412214,133.228823353982
"ORNL",9,2014,2022,0.157295773074996,0.200801213668546,-0.0209409615466663,0.13635481152833,0.52838473124065,5.51947941730374,1.13136316426478,18,15.0987738731215,1558.13934909662,0.605135777729047,207.816644872324
"OSBS",6,2015,2021,0.150283569243023,0.186109609579564,0.0814185350127599,0.231702104255782,0.640439108768747,2.9562056662471,0.943662912689899,15,22.1191841095422,1506.04864382239,0.253889284485243,74.9520880110242
"RMNP",6,2017,2022,0.0932035721270869,0.152612630877519,0.136155741284479,0.229359313411566,0.691588254349543,6.51170826188048,0.855770807141554,16,4.33676719189463,444.087538491917,0.521039758052608,87.0520403207644
"SCBI",8,2014,2022,0.112667071964087,0.244841851615547,0.0169353084085064,0.129602380372594,0.471042218156504,2.171850209158,0.633327798867898,14,13.1376179950014,1188.61050460336,0.62249727748602,188.100335157158
"SERC",7,2015,2022,0.104810497667134,0.247019433159424,0.102849295606513,0.207659793273647,0.527102211165639,2.08718067982751,0.333623918047848,29,14.2751938216269,1223.10966152361,0.260736905026187,194.160116119057
"SRER",7,2016,2022,0.083416077569335,0.21368958167643,-0.00564445310118401,0.0777716244681513,0.548405979661251,7.30670241023222,1.7116308643542,24,18.4079883303492,375.068093690177,0.377973000571868,108.533316506399
"STEI",7,2015,2021,0.105197397612202,0.135998512473332,0.182897681761646,0.288095079373848,0.629673012533456,13.8749012733617,0.76232372802329,16,5.31271547624186,962.444611154264,0.802629995139676,123.136195159089
"TALL",9,2014,2022,0.152589874128415,0.197992935590046,0.035267115612736,0.187856989741152,0.625027863977218,4.46424610526905,1.24125240049149,14,18.678240675131,1527.86618729835,0.642655530743172,164.369777986513
"TREE",6,2015,2021,0.129283379338133,0.25099590124534,0.148804716931539,0.278088096269672,0.581539268620265,1.44353617644073,0.229852983648544,21,5.56175781133491,961.450835177029,0.841437742440416,146.29659935397
"UKFS",6,2016,2021,0.119725732865905,0.182078955424319,-0.0322700559572037,0.0874556769087013,0.574910778543018,1.28377849722015,0.365861232701237,14,13.9894882744063,1094.12774839321,0.657291241532754,107.879200742947
"UNDE",7,2014,2021,0.111399311245388,0.15187556768415,0.0294148738442487,0.140814185089637,0.605053403532339,2.9613085344871,0.607444333258391,24,4.44544201470703,984.578108732491,1.14216950043353,123.603347211159
"WOOD",8,2014,2021,0.0855276722552363,0.145386828696934,-0.0122151250846935,0.0733125471705426,0.55692245646536,1.68621060774203,0.43237170313953,21,5.14780478047149,511.105692459767,1.28773961860195,115.348109632813
