"region","duration","start_year","end_year","sstar_slope","asar_slope","estar_slope","sar_ave_slope","mp_dist","mnn_dist","N","MAT_C","MAP_mm","MAT_sd","MAP_sd"
"2060019830",14,2002,2016,0.224079401247464,0.0203386508945772,0.244418052142041,0.298656200465439,55.1329324092724,25.9373787464822,17,13.3426200374758,1082.71164295109,0.441046362890754,142.594658720911
"2060020330",6,1995,2001,0.19546047202034,0.120567180765679,0.316027652786019,0.422209177276329,161.378116001096,47.6164680537805,14,12.8840711655924,1112.51841397503,0.392551610976404,209.475575842634
"2060020620",6,1996,2002,0.171175391725202,0.111833748831641,0.283009140556842,0.474825086951424,231.328000448171,66.7111524661843,14,11.036404064292,1000.0203350561,0.374679204278293,86.6917599410191
"2060021230",14,1996,2010,0.307625355429561,0.0443194995181924,0.351944854947753,0.240185533576049,114.296769626685,110.27606386529,15,11.7452362629713,1016.56786811109,0.452486673776517,143.006111589795
"2060022970",12,1994,2006,0.192286904353375,-0.0429032703327133,0.149383634020662,0.282132681519833,188.924100663215,36.5926189860526,15,10.2176902049252,1003.54678760445,0.54091099179929,144.538581101447
"2060028670",6,2012,2017,0.145479607643998,0.0451967632457669,0.190676370889765,0.496371188278815,15.4369862881086,3.08444656728685,14,5.70370265639049,670.013723397572,0.675112422577757,100.421877355518
"2060030160",16,2002,2018,0.1388606634415,-0.019155225719164,0.119705437722336,0.266155120675011,129.719139401794,12.3261853857529,23,0.388899343361495,530.946285901902,0.648723338470958,60.5012363022639
"2060030170",6,1996,2002,0.163884246253805,0.0150800076119102,0.178964253865715,0.238293973538273,44.6034106490891,5.98201134481872,16,0.62220908763338,545.087323597013,0.592601180875513,101.806497194019
"2060030270",18,2000,2018,0.140413712220568,0.00955106221054261,0.149964774431111,0.203008222594373,31.4524383756492,4.56123393209713,14,2.45489051234815,595.745304024888,0.724266346983257,83.1428357702045
"2060030490",20,1998,2018,0.188538867598254,0.0403105384435565,0.228849406041811,0.431963649845057,38.7615800774155,4.2533729766383,16,2.99147221073183,643.277382602731,0.7835720638479,92.8574666304065
"2060030650",10,2008,2018,0.223568080052527,0.196353862686047,0.419921942738574,0.493215440535263,227.454728734918,5.36588001944693,15,1.55944118089112,620.193093021601,0.928836300235089,52.4111431886773
"2060030660",20,1998,2018,0.169198179640786,0.0175093926377805,0.186707572278567,0.350678054333902,37.1655271375282,7.89282230862002,18,3.21373392942351,652.912588757776,0.778948203736564,87.7035199275387
"2060031490",6,2008,2014,0.238221206378265,0.101486493164412,0.339707699542677,0.398894237004536,180.337674572218,26.6383079362804,19,3.62258649493587,721.458252892543,1.22283340948546,98.7975969670277
"2060031740",6,2006,2012,0.148229986612892,0.275227820199701,0.423457806812592,0.495845704467744,134.905629857397,22.8249139514854,15,5.19980693608136,759.386742523613,1.07061301400599,77.8807513068567
"2060031750",16,2002,2018,0.281175000190869,0.0506870545942493,0.331862054785118,0.430258045217613,5.89140328089621,1.51881390604248,15,7.71488276434432,506.220232555892,0.62803747183577,65.3351231830166
"2060031960",16,2003,2018,0.307807502236675,0.0381418584417356,0.34594936067841,0.501647696110331,94.8438723572868,43.5092925460192,14,6.69973045050031,691.812085865686,0.693927776082201,78.6578396406206
"2060031970",18,1999,2017,0.2036690978532,0.054268957546381,0.257938055399581,0.494133672091955,152.192956296096,39.1226272229987,15,7.31749602404976,671.143815730763,0.620217257361271,65.4096078423318
"2060032680",16,2001,2017,0.207978309947496,0.130366520623257,0.338344830570753,0.420257865080082,25.4016926143652,8.82666004693509,15,8.47331074761152,795.926911256001,0.657329952481297,95.7832465959521
"2060033010",14,1999,2013,0.198446969264636,0.0780706733042501,0.276517642568886,0.383356335387008,114.03412809778,10.262225144624,14,7.09623004249488,881.700978470279,0.641789331557435,80.2768959967519
"2060033020",24,1994,2018,0.194906981771494,0.117123007152864,0.312029988924359,0.340840804406728,124.326658103561,9.91289329312522,30,7.41710816617158,950.465171209685,0.719988773842438,128.938914614077
"2060033330",14,1991,2005,0.351707661164947,0.0375619730842211,0.389269634249169,0.438600521612979,5.75189263423668,2.78618074844022,14,7.34672344893333,848.613504345931,0.619739725319777,132.202893426476
"2060048980",6,2004,2010,0.250002908879803,0.263862916191587,0.513865825071389,0.424239421695581,43.2966394440329,12.0993453791317,14,10.5547897597444,813.327759872542,0.562515163011181,91.6794322117409
"2060048990",12,2002,2014,0.146741117337899,0.00480713199478119,0.15154824933268,0.166775024464921,20.3543502704012,14.2732622984229,18,10.6006296694309,1336.97783802856,0.466200797357464,169.540648504347
"2060049660",6,2003,2009,0.0984681696500032,0.193078184306436,0.291546353956439,0.43114962506418,97.3901621202658,17.4492552309025,16,9.96525139817077,753.977524626587,0.218185206035231,87.8333893251733
"2060050410",6,2002,2008,0.13396339793547,0.00525341452179449,0.139216812457264,0.422522008632854,57.1932492878162,4.45711085456195,14,9.64369353563527,1095.20696298469,0.182839863928214,154.485392711007
"2060050420",12,2002,2013,0.203465163286083,0.0146114998405726,0.218076663126655,0.332585501639479,98.3937407710248,16.0987256132151,23,8.5569637174955,1546.59093252598,0.444210926506134,199.806382618497
"2060052960",12,2001,2013,0.111306242332413,0.183490313969473,0.294796556301886,0.417932505225413,44.23019886485,7.58079695132397,18,8.59412312828954,938.374530380699,0.445856071369444,111.662427470835
"2060053240",12,2001,2013,0.0742720700543618,0.0362050002935237,0.110477070347886,0.614068745179312,117.925389744563,26.3537947715302,15,8.9590403267067,963.316993028797,0.458990802674604,111.229956980854
